clouds.all,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain,rain.1h,rain.3h,snow,snow.3h,sys.country,weather,wind.deg,wind.gust,wind.speed
8,28.6585,-17.9183,1553549400,2514651,,72,1008.0,,62.6,62.6,62.6,Los Llanos de Aridane,,,,,,ES,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '02n'}]",20.0,,8.05
75,-20.5167,57.5167,1553551147,933995,,94,1009.0,,75.94,77.0,75.0,Souillac,,,,,,MU,"[{'id': 521, 'main': 'Rain', 'description': 'proximity shower rain', 'icon': '09n'}]",150.5,,11.43
40,-2.8667,-44.0389,1553551200,3398381,,94,1011.0,,75.2,75.2,75.2,Morros,,,,,,BR,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10.0,,10.29
0,20.2478,-99.1891,1553551360,3515690,801.41,21,1009.98,1009.98,78.39,78.39,78.39,Progreso,,,,,,MX,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01d'}]",45.0003,,7.74
75,22.0752,-159.319,1553551259,5848280,,65,1021.0,,76.75,78.8,73.99,Kapaa,,,,,,US,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",50.0,,10.29
75,17.1994,-25.092,1553547600,3374346,,46,1014.0,,73.4,73.4,73.4,Ponta do Sol,,,,,,CV,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",100.0,,4.7
75,32.3817,-64.6781,1553551291,3573061,,55,1023.0,,64.42,66.2,63.0,Saint George,,,,,,BM,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",160.0,,6.93
92,-22.1161,14.2845,1553551331,3356832,,94,1013.0,,60.01,60.01,60.01,Henties Bay,,,,,,NA,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",166.0,3.58,3.0
0,-24.6942,44.7477,1553551362,1078553,976.53,91,1008.98,1008.98,69.93,69.93,69.93,Ampanihy,,,,,,MG,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",6.50031,,6.96
20,-5.8054,-35.2081,1553551200,3394023,,74,1010.0,,83.5,84.2,82.4,Natal,,,,,,BR,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",110.0,,8.05
